endcap	station	ring	chamber	new anode_bx_offset
2	3	2	23	799.597
2	3	2	24	805.792
2	3	2	25	805.374
2	3	2	26	807.414
2	3	2	27	802.785
2	3	2	28	813.412
2	3	2	29	797.068
2	3	2	3	807.135
2	3	2	30	808.208
2	3	2	31	810.218
2	3	2	32	801.134
2	3	2	33	806.84
2	3	2	34	811.814
2	3	2	35	806.359
2	3	2	36	808.098
2	3	2	4	790.627
2	3	2	5	805.296
2	3	2	6	804.889
2	3	2	7	811.515
2	3	2	8	802.574
2	3	2	9	808.317
2	4	1	1	811.766
2	4	1	10	806.466
2	4	1	11	801.902
2	4	1	12	812.115
2	4	1	13	811.942
2	4	1	14	801.316
2	4	1	15	812.833
2	4	1	16	808.668
2	4	1	17	809.662
2	4	1	18	806.487
2	4	1	2	810.28
2	4	1	3	804.543
2	4	1	4	807.264
2	4	1	5	809.35
2	4	1	6	801.625
2	4	1	7	809.937
2	4	1	8	801.089
2	4	1	9	810.401
2	4	2	1	812.046
2	4	2	10	799.328
2	4	2	11	807.186
2	4	2	12	803.244
2	4	2	13	802.146
2	4	2	14	796.864
2	4	2	15	801.616
2	4	2	16	808.237
2	4	2	17	804.945
2	4	2	18	803.688
2	4	2	19	803.601
2	4	2	2	811.163
2	4	2	20	805.717
2	4	2	21	799.579
2	4	2	22	801.848
2	4	2	23	801.932
2	4	2	24	795.347
2	4	2	25	809.805
2	4	2	26	807.882
2	4	2	27	801.902
2	4	2	28	801.086
2	4	2	29	803.231
2	4	2	3	812.027
2	4	2	30	803.103
2	4	2	31	788.051
2	4	2	32	804.501
2	4	2	33	806.949
2	4	2	34	808.87
2	4	2	35	799.733
2	4	2	36	798.434
2	4	2	5	809.043
2	4	2	6	808.656
2	4	2	7	813.775
2	4	2	8	802.415
2	4	2	9	801.57
