endcap	station	ring	chamber	corr
2	1	3	9	-223.104
2	1	4	1	-234.099
2	1	4	10	-234.134
2	1	4	11	-235.955
2	1	4	12	-235.998
2	1	4	13	-235.127
2	1	4	14	-235.391
2	1	4	16	-237.052
2	1	4	17	-237.227
2	1	4	18	-232.929
2	1	4	19	-233.623
2	1	4	20	-233.742
2	1	4	21	-233.294
2	1	4	23	-232.556
2	1	4	24	-234.304
2	1	4	25	-235.068
2	1	4	26	-235.26
2	1	4	27	-236.039
2	1	4	28	-234.703
2	1	4	29	-234.927
2	1	4	31	-235.154
2	1	4	33	-234.711
2	1	4	35	-235.679
2	1	4	36	-232.425
2	1	4	4	-233.961
2	1	4	5	-234.949
2	1	4	6	-231.885
2	1	4	7	-233.545
2	1	4	8	-233.112
2	1	4	9	-236.755
2	2	1	1	-216.168
2	2	1	10	-216.961
2	2	1	11	-216.721
2	2	1	12	-216.771
2	2	1	13	-216.231
2	2	1	14	-219.478
2	2	1	15	-218.724
2	2	1	16	-213.058
2	2	1	17	-216.522
2	2	1	18	-216.157
2	2	1	2	-214.982
2	2	1	3	-216.979
2	2	1	4	-218.152
2	2	1	5	-214.453
2	2	1	6	-214.386
2	2	1	7	-214.205
2	2	1	8	-218.058
2	2	1	9	-216.172
2	2	2	1	-216.584
2	2	2	10	-214.844
2	2	2	11	-212.825
2	2	2	12	-215.292
2	2	2	13	-214.657
2	2	2	14	-215.257
2	2	2	15	-216.413
2	2	2	16	-217.627
2	2	2	17	-222.318
2	2	2	18	-217.849
2	2	2	19	-215.58
2	2	2	2	-216.842
2	2	2	20	-215.827
2	2	2	21	-217.649
2	2	2	22	-217.062
2	2	2	23	-216.463
2	2	2	24	-218.178
2	2	2	25	-217.029
2	2	2	26	-216.858
2	2	2	27	-217.963
2	2	2	28	-218.169
2	2	2	29	-217.673
2	2	2	3	-216.377
2	2	2	30	-218.909
2	2	2	31	-218.255
2	2	2	32	-217.377
2	2	2	33	-217.313
2	2	2	34	-218.068
2	2	2	35	-216.783
2	2	2	36	-217.931
2	2	2	4	-216.668
2	2	2	5	-216.546
2	2	2	6	-218.554
2	2	2	7	-217.704
2	2	2	8	-217.567
2	2	2	9	-214.15
2	3	2	1	-215.897
2	3	2	10	-218.245
2	3	2	11	-217.893
2	3	2	12	-220.86
2	3	2	13	-217.66
2	3	2	14	-218.237
2	3	2	15	-215.347
2	3	2	16	-215.546
2	3	2	17	-214.134
2	3	2	18	-215.944
2	3	2	19	-215
2	3	2	2	-217.135
2	3	2	20	-215.172
2	3	2	21	-217.876
2	3	2	22	-217.887
2	3	2	23	-216.515
2	3	2	24	-217.574
2	3	2	25	-217.301
2	3	2	26	-215.672
2	3	2	27	-222.027
2	3	2	28	-217.073
2	3	2	29	-216.609
2	3	2	3	-216.049
2	3	2	30	-217.216
2	3	2	31	-215.408
2	3	2	32	-214.977
2	3	2	33	-217.345
2	3	2	34	-217.5
2	3	2	35	-216.589
2	3	2	36	-217.607
2	3	2	4	-218.49
2	3	2	5	-215.306
2	3	2	6	-217.105
2	3	2	7	-217.034
2	3	2	8	-216.457
2	3	2	9	-219.451
