endcap	station	ring	chamber	corr
2	3	1	10	-213.302
2	3	1	11	-215.163
2	3	1	12	-216.322
2	3	1	13	-215.797
2	3	1	14	-214.263
2	3	1	15	-215.561
2	3	1	16	-215.386
2	3	1	17	-215.816
2	3	1	18	-214.655
2	3	2	1	-214.207
2	3	2	2	-215.634
2	3	2	3	-214.072
2	3	2	4	-217.008
2	3	2	5	-213.305
2	3	2	6	-216.009
2	3	2	7	-215.797
2	3	2	8	-215.156
2	3	2	9	-217.724
2	3	2	10	-217.37
2	3	2	11	-216.151
2	3	2	12	-219.207
2	3	2	13	-216.599
2	3	2	14	-216.868
2	3	2	15	-213.691
2	3	2	16	-212.67
2	3	2	17	-211.608
2	3	2	18	-214.248
2	3	2	19	-213.496
2	3	2	20	-213.971
2	3	2	21	-215.652
2	3	2	22	-216.027
2	3	2	23	-215.539
2	3	2	24	-216.52
2	3	2	25	-216.295
2	3	2	26	-215.296
2	3	2	27	-220.333
2	3	2	28	-215.471
2	3	2	29	-215.132
2	3	2	30	-216.124
2	3	2	31	-214.128
2	3	2	32	-213.886
2	3	2	33	-215.141
2	3	2	34	-216.024
2	3	2	35	-215.006
2	3	2	36	-215.946
2	4	1	1	-212.957
2	4	1	2	-216.939
2	4	1	3	-217.698
2	4	1	4	-216.674
2	4	1	5	-214.664
2	4	1	6	-215.826
2	4	1	7	-214.312
2	4	1	8	-215.836
2	4	1	9	-215.735
2	4	1	10	-215.178
2	4	1	11	-217.19
2	4	1	12	-217.406
2	4	1	13	-217.203
2	4	1	14	-216.996
2	4	1	15	-215.782
2	4	1	16	-215.971
2	4	1	17	-213.317
2	4	1	18	-213.441
2	4	2	1	-216.491
2	4	2	2	-216.16
2	4	2	3	-222.117
2	4	2	4	-221.176
2	4	2	5	-222.466
2	4	2	6	-220.507
2	4	2	7	-221.751
2	4	2	8	-221.19
2	4	2	9	-220.807
2	4	2	10	-195.184
2	4	2	11	-220.705
2	4	2	12	-218.628
2	4	2	13	-220.24
2	4	2	14	-218.357
2	4	2	15	-221.391
2	4	2	16	-219.86
2	4	2	17	-220.944
2	4	2	18	-219.282
2	4	2	19	-220.844
2	4	2	20	-220.225
2	4	2	22	-221.505
2	4	2	23	-222.025
2	4	2	24	-221.113
2	4	2	25	-222.12
2	4	2	26	-221.372
2	4	2	27	-222.522
2	4	2	28	-219.2
2	4	2	29	-220.476
2	4	2	30	-221.819
2	4	2	31	-220.183
2	4	2	32	-220.683
2	4	2	33	-217.738
2	4	2	34	-219.227
2	4	2	35	-219.278
2	4	2	36	-215.502
