103 700 D 700 D 3640 824 -21713 1
104 700 D 700 D 3640 828 -21656 1
105 1100 D 1000 D 5720 847 -21543 0
106 900 N 900 N 4230 831 -21574 1
107 800 D 800 D 4160 826 -21542 1
108 900 N 900 N 4230 834 -21582 1
109 900 D 1100 N 4680 818 -22570 1
110 1000 D 1100 D 5200 830 -20188 0
111 1000 N 1100 N 4700 826 -22755 1
112 1000 D 1100 D 5200 821 -20118 0
113 1000 D 1250 D 5200 816 -22957 1
114 1000 D 1200 D 5200 824 -22993 1
115 1100 N 1250 N 5170 825 -22752 1
116 1100 D 1100 D 5720 820 -20260 0
117 900 N 1100 N 4230 822 -19972 1
118 1100 D 1100 D 5720 820 -20103 0
119 1100 N 1250 N 5170 824 -22283 1
120 900 D 1100 D 4680 822 -22582 1
121 1100 N 1100 N 5170 818 -22368 1
122 1100 D 1250 D 5720 819 -20331 0
123 1000 N 1100 N 4700 820 -22783 1
124 1100 D 1100 D 5720 826 -20531 0
125 900 N 1100 N 4230 817 -22658 1
126 1000 D 1100 D 5200 824 -22474 1
127 600 N 700 N 2820 834 -21270 1
128 800 N 1000 N 3760 827 -21192 1
129 1000 D 1100 N 5200 825 -21432 0
130 900 N 1000 N 4230 813 -21517 1
131 800 N 900 D 3760 825 -21397 1
132 700 N 800 N 3290 823 -21536 1
133 700 N 800 N 3290 826 -21428 1
134 700 N 700 N 3290 829 -21302 1
135 1100 D 1250 N 5720 826 -21470 0
136 1000 N 1250 N 4700 819 -21481 1
137 900 D 1100 D 4680 828 -21417 1
138 800 N 1000 N 3760 829 -21503 1
139 600 N 800 D 2820 827 -21426 1
140 600 N 700 N 2820 828 -21345 1
141 1100 N 1250 N 5170 830 -21356 1
142 1000 N 1100 N 4700 825 -21330 1
143 900 N 1000 D 4230 826 -21310 1
144 800 N 900 N 3760 830 -21474 1
145 600 N 700 N 2820 808 -21229 1
146 700 N 800 N 3290 820 -21251 1
147 1100 N 1250 N 5170 831 -21039 1
148 1000 N 1100 N 4700 822 -21028 1
149 900 D 1000 D 4680 830 -21009 1
150 700 N 800 N 3290 828 -21056 1
151 700 N 700 N 3290 827 -21126 1
152 600 D 800 D 3120 830 -21003 1
153 1100 N 1250 N 5170 825 -21640 1
154 1100 N 1100 N 5170 828 -21651 1
155 900 D 1000 D 4680 822 -21531 1
156 800 N 800 N 3760 822 -21620 1
157 700 N 700 N 3290 835 -21558 1
158 700 N 800 N 3290 828 -21494 1
159 1000 D 1100 N 5200 829 -21159 1
160 900 N 1000 N 4230 810 -21200 1
161 700 N 900 N 3290 821 -21164 1
162 700 N 800 N 3290 829 -21312 1
163 1000 N 1250 N 4700 818 -22955 1
164 1000 N 1100 N 4700 820 -22994 1
165 900 N 1000 N 4230 820 -23000 1
166 1000 N 1250 N 4700 822 -20491 1
167 1000 N 1250 N 4700 816 -23292 1
168 1000 N 1250 N 4700 831 -22939 1
169 1100 N 1250 N 5170 822 -23131 1
170 1000 N 1100 N 4700 822 -22856 1
171 900 N 1100 N 4230 825 -22583 1
172 1000 N 1250 N 4700 827 -20267 1
173 1000 N 1000 N 4700 821 -19213 1
174 1000 N 1000 N 4700 823 -19281 1
175 1100 N 1100 N 5170 824 -21889 1
176 1100 N 1000 N 5170 819 -22847 1
